Source_ID,Source_Name,Coverage_Route,Primary_MICs,URL,Method,HTTP_Status,Final_URL,Content_Type,Bytes,SHA256,Probe_Status,Candidate_Link_Count,Official_Semantics_Strength_v0_25,Materialization_Status_v0_25,Error,has_isin,has_security_type,has_share,has_equity,has_ordinary,has_preferred,has_etf,has_fund,has_category,has_subcategory,has_download,Workbook_Header_Row_Zero_Based,Workbook_Sheet,Workbook_Rows,Workbook_Columns
EU_LSE_REPORTS,London Stock Exchange Issuers and Instruments Reports,EU_PRIMARY_EXCHANGES,XLON,https://www.londonstockexchange.com/reports,GET,200,https://www.londonstockexchange.com/reports,text/html; charset=utf-8,54995,c082660492d1bfb06ac164700d1187ed1d47dc1e940d356ff9f622546ef03d25,HTTP_OK,0,EQUITY_SEMANTICS_ONLY,RAW_OFFICIAL_PAGE_SAVED,,False,False,True,False,False,False,False,False,False,False,False,,,,
EU_XETRA_SHARES,Deutsche Boerse Xetra List of Tradable Shares,EU_PRIMARY_EXCHANGES,XETR,https://www.xetra.com/xetra-en/instruments/shares/list-of-tradable-shares,GET,200,https://www.cashmarket.deutsche-boerse.com/cash-en/trading/Equities/list-of-tradable-shares,text/html;charset=UTF-8,191695,2b61751b816b97d5a9f7416e26de58bdfddab1a9729c7896a2d140857fdeae2a,HTTP_OK,40,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,True,False,True,True,False,False,True,True,True,False,True,,,,
EU_EURONEXT_EQUITIES,Euronext Stocks All Markets,EU_PRIMARY_EXCHANGES,XPAR;XAMS;XBRU;XLIS;XMIL;XOSL;XDUB,https://live.euronext.com/en/products/equities/list,GET,200,https://live.euronext.com/en/products/equities/list,text/html; charset=UTF-8,425824,ffdb9575a2a00e46f0d8ad26ed48d60a82bc545d89afe9e33dbe2736aa12bdd7,HTTP_OK,40,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,True,False,False,True,True,True,True,True,True,False,True,,,,
EU_SIX_EQUITIES,SIX Swiss Exchange Equities,EU_PRIMARY_EXCHANGES,XSWX,https://www.six-group.com/en/products-services/the-swiss-stock-exchange/trading/markets/equities.html,GET,200,https://www.six-group.com/en/products-services/the-swiss-stock-exchange/trading/markets/equities.html,text/html; charset=utf-8,247555,44c34ae57b4de3824a614fa43f54e553f08d66d800d1e859a27aade8449699aa,HTTP_OK,40,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,True,False,True,True,False,False,True,True,True,False,True,,,,
EU_NASDAQ_NORDIC_EQUITIES,Nasdaq Nordic European Equities Market,EU_PRIMARY_EXCHANGES,XSTO;XCSE;XHEL,https://www.nasdaq.com/products/european-markets/equities,GET,200,https://www.nasdaq.com/products/european-markets/equities,text/html; charset=UTF-8,170671,06d86ff843beb571cae9e04d249eb156f4ffac7a141d1ae9ea154c19a33da1d5,HTTP_OK,16,IDENTIFIER_PLUS_EQUITY_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,True,False,True,True,False,False,True,True,True,False,False,,,,
EU_GPW_LISTED_COMPANIES,Warsaw Stock Exchange Listed Companies,EU_PRIMARY_EXCHANGES,XWAR,https://www.gpw.pl/spolki,GET,200,https://www.gpw.pl/spolki,text/html; charset=UTF-8,141958,38f10a7f3ac7fd5db34e88c0e0289cdf915b4e23abac77a504cf2ae3e1be029e,HTTP_OK,7,CAPABILITY_ONLY,RAW_OFFICIAL_PAGE_SAVED,,True,False,False,False,False,False,True,True,False,False,False,,,,
EU_VIENNA_COMPANIES,Vienna Stock Exchange Companies List,EU_PRIMARY_EXCHANGES,XWBO,https://www.wienerborse.at/en/listing/shares/companies-list/,GET,200,https://www.wienerborse.at/en/listing/shares/companies-list/,text/html; charset=utf-8,342485,c8f21a2fe36f25986886bc0f17f89344ce4f0f662a0f2303b9a2ff5e38756beb,HTTP_OK,40,STRONG_PAGE_LEVEL_SECURITY_TYPE_SEMANTICS,RAW_OFFICIAL_PAGE_SAVED,,True,True,True,True,True,True,True,True,False,False,True,,,,
HKEX_FULL_LIST,HKEX Full List of Securities,HK_HSI,XHKG,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,GET,200,https://www.hkex.com.hk/eng/services/trading/securities/securitieslists/ListOfSecurities.xlsx,application/vnd.openxmlformats-officedocument.spreadsheetml.sheet,1404395,0ccda15ac73982573edb9d451adc3c0a6cec93362a008450eb4a771f8f3e45ff,HTTP_OK,0,BULK_IDENTIFIER_PLUS_CATEGORY_SUBCATEGORY,PARSED_OFFICIAL_BULK_REFERENCE,,,,,,,,,,,,,2.0,ListOfSecurities,17910.0,"Stock Code;Name of Securities;Category;Sub-Category;Board Lot;ISIN;Expiry Date;Subject to Stamp Duty;Shortsell Eligible;CAS Eligible;VCM Eligible;Admitted to CCASS;Debt Securities Board Lot (Nominal);Debt Securities Investor Type;POS Eligible;Spread Table
1 = Part A
3 = Part B
5 = Part D
4 & 6 = Part E;Trading Currency;RMB Counter"
TMX_LISTED_DIRECTORY,TMX TSX Listed Company Directory,CA_TSX,XTSE,https://www.tsx.com/en/listings/listing-with-us/listed-company-directory,GET,200,https://www.tsx.com/en/listings/listing-with-us/listed-company-directory,text/html; charset=UTF-8,69878,eae1b2aa86c70a01207b4f26ac710c7fdd583b70494f05afa2eb601250a51da6,HTTP_OK,40,EQUITY_SEMANTICS_ONLY,RAW_OFFICIAL_PAGE_SAVED,,False,False,True,True,False,False,False,True,True,False,True,,,,
KRX_DATA_MARKETPLACE,KRX Data Marketplace Main,KR_KOSPI200,XKRX,https://data.krx.co.kr/contents/MDC/MAIN/main/index.cmd,GET,200,https://data.krx.co.kr/comm/error/503.html,text/html,1679,1d3284269ff4b41565a06645df9a03f097e20a2d8f4d793a0c631b62f9a8a8de,ERROR,0,NOT_VERIFIED,NOT_MATERIALIZED,RuntimeError: Official endpoint resolved to error landing page: https://data.krx.co.kr/comm/error/503.html,,,,,,,,,,,,,,,
