WS_ID,Name,ISIN,Primary_MIC,Primary_Exchange,Primary_Ticker,Primary_Currency,Primary_Universe_Index,v0_39_Static_Symbol_Relation,v0_39_Diagnostic_Classification,Current_Yahoo_Symbol,Static_Candidate_Yahoo_Symbol,Proposed_Yahoo_Symbol,Provider_Listing_Type,Primary_Listing_Status,Provider_Symbol_Status,Corporate_Action_Status,Evidence_Status,Evidence_Confidence,Evidence_Primary_URL,Evidence_Provider_URL,Evidence_Secondary_URL,Evidence_Note,Evidence_AsOf_UTC,Decision,Needs_Price_Verification,Verified_Primary_Ticker,Verified_Share_Class,Research_Status
WS:XAMS:ARDS.AS,Arcadis N.V.,,XAMS,,ARDS.AS,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ARDS.AS,ARDS.AS,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,PARTIAL_PRIMARY_UNRESOLVED,UNRESOLVED,,https://finance.yahoo.com/quote/ARDS.AS/,,Yahoo ARDS.AS resolves generically and does not provide reliable Arcadis instrument identity; provider identity unresolved.,2026-09-03T08:56:00.341962+00:00,PRIMARY_IDENTITY_REVIEW_REQUIRED,NO,,,PARTIAL
WS:XBRU:AGES.BR,,,XBRU,,AGES.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AGES.BR,AGES.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:AOO.BR,,,XBRU,,AOO.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AOO.BR,AOO.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:IETB.BR,,,XBRU,,IETB.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,IETB.BR,IETB.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XBRU:WDPP.BR,,,XBRU,,WDPP.BR,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,WDPP.BR,WDPP.BR,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XCSE:ZELA.CO,,,XCSE,,ZELA.CO,DKK,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ZELA.CO,ZELA.CO,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:AG1G.DE,,,XETR,,AG1G.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,AG1G.DE,AG1G.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:ALVG.DE,,,XETR,,ALVG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,ALVG.DE,ALVG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:BC8G.DE,,,XETR,,BC8G.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BC8G.DE,BC8G.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
WS:XETR:BEIG.DE,,,XETR,,BEIG.DE,EUR,,EXACT,EXACT_PROVIDER_SYMBOL_NO_DATA,BEIG.DE,BEIG.DE,,UNVERIFIED,UNVERIFIED,UNVERIFIED,UNVERIFIED,NOT_RESEARCHED,UNRESOLVED,,,,Evidence review scaffold; no provider/primary evidence asserted. Manual research required.,2026-09-02T18:17:22.110176+00:00,UNRESOLVED_MANUAL,NO,,,NOT_STARTED
