WS_ID,Name,ISIN,Country,Primary_Ticker,Primary_Exchange,Primary_MIC,Primary_Currency,Primary_Universe_Index,Index_Tags,ws_id,yahoo_symbol,mapping_status,status,reason_code,unique_bars,valid_bars,repaired_rows,suspicious_returns,zero_volume_share,first_bar_date,last_bar_date,last_fetch_utc,batch_id,last_error
SMOKE:US:AAPL,Apple Inc.,,United States,AAPL,SMOKE_TEST_REFERENCE,XNAS,USD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:US:AAPL,AAPL,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:US:MSFT,Microsoft Corp.,,United States,MSFT,SMOKE_TEST_REFERENCE,XNAS,USD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:US:MSFT,MSFT,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:US:JPM,JPMorgan Chase & Co.,,United States,JPM,SMOKE_TEST_REFERENCE,XNYS,USD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:US:JPM,JPM,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:US:BRKB,Berkshire Hathaway Class B,,United States,BRK.B,SMOKE_TEST_REFERENCE,XNYS,USD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:US:BRKB,BRK-B,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:CA:SHOP,Shopify Inc.,,Canada,SHOP,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CA:SHOP,SHOP.TO,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:CA:RY,Royal Bank of Canada,,Canada,RY,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CA:RY,RY.TO,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:CA:ENB,Enbridge Inc.,,Canada,ENB,SMOKE_TEST_REFERENCE,XTSE,CAD,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:CA:ENB,ENB.TO,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:DE:SAP,SAP SE,,Germany,SAP,SMOKE_TEST_REFERENCE,XETR,EUR,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:DE:SAP,SAP.DE,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:DE:SIE,Siemens AG,,Germany,SIE,SMOKE_TEST_REFERENCE,XETR,EUR,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:DE:SIE,SIE.DE,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
SMOKE:DE:ALV,Allianz SE,,Germany,ALV,SMOKE_TEST_REFERENCE,XETR,EUR,SMOKE_CROSS_MARKET,SMOKE_CROSS_MARKET,SMOKE:DE:ALV,ALV.DE,EXPLICIT,WARMUP,INSUFFICIENT_HISTORY,11,11,0,0,0.0,2026-08-07,2026-08-21,2026-08-23T16:40:20+00:00,YF-20260823T164019581106-e63390f6,
